feature,importance
PAQ_PAQ050Q,0.0008755466790829532
RHQ_RHQ060,0.0007826608440559173
CVX_CVDVOMAX,0.0007434228700228094
SMQ_SMQ050U,0.0007157541252454981
MCQ_MCQ240DD,0.000714876126447401
RHQ_RHQ558,0.0007039654865115065
MCQ_MCQ180G,0.0007039342504731088
OSQ_OSD030CA,0.0006908292151580994
MCQ_MCQ250E,0.0006621145361046572
MCQ_MCQ240F,0.0006266970889645621
SMQ_SMQ210,0.0006193584023775421
RHQ_RHQ510,0.0005999182697876229
SXQ_SXQ170,0.0005796361455017779
RHQ_RHQ380,0.0005655783547721479
HIQ_HID030B,0.0005608555123137226
SMQFAM_SMD415,0.0005477650641536689
PAQ_PAD020,0.0005338446217763512
MCQ_MCD093,0.000492381765476176
BIX_BIXS177K,0.0004633728762689966
SMQ_SMD160,0.0004163430237020101
MCQ_MCQ190,0.00041245902890214
SSCHL_SSSHBG,0.00039261093518400396
SMQ_SMD220,0.0003861803406057113
SSCHL_SSTESTO,0.00035692058848128973
DEMO_RIDRETH2,0.0003355525848323226
CVX_CVDS2DI,0.00032142521758937574
VIX_VIXKRDM,0.0003163550391164073
RHQ_RHD270,0.00030826540392632333
SSCHL_SSSE2,0.000293561871567938
SMQMEC_SMQ840,0.0002804320274904481
OCQ_OCQ290G,0.00025969267462770825
CVX_CVDS1SY,0.0002453353000960426
RHQ_RHQ200,0.00024049921131925601
AUQ_AUQ240,0.00018243707104816274
MCQ_MCQ180L,0.0001819482441348663
OSQ_OSQ010B,0.00016523045471629496
MCQ_MCQ220,0.0001592581013049609
BIX_BIXS304K,0.00014936734757310972
WHQ_WHD100L,0.000146560131403186
HIQ_HID030A,0.0001462453034214085
BIX_BIXS582K,0.0001438998153595801
FSQ_FSD200,0.00013902897090337915
SSCHL_SS3ADLG,0.00012460255288648627
CIQGAD_CIQGPC,0.00010864756381127252
OCQ_OCQ440,0.00010485232163408788
CVX_CVAARM,9.24336329623829e-05
PH_PHAGUMHR,8.740921068650014e-05
BIX_BIXS050K,7.327025269710428e-05
BPX_BPXDB,6.99214531566792e-05
CVX_CVDEXCL3,5.999094421467244e-05
RHQ_RHD280,5.54748106127488e-05
